2D,,Two-dimensional,PAS1192-2 Back
2D Drawing,,"A 2D drawing contains a view of a model that is referenced into a 'drawing sheet template' (blank drawing and title block). Such drawings must always be considered to be static documents, as they are drawing renditions or snapshots of the design?s model files.  Such renditions are generated each time the drawing is prepared for 'sharing' at regular milestones",PAS1192-2 Back
2D Model,,"A model with entities having two-dimensional properties. Such models are always to be considered to be dynamic, as they will be made up of 'model files' that are 'reference' files",PAS1192-2 Back
3D,,Three-dimensional,PAS1192-2 Back
3D Model,,"A model with objects having three-dimensional properties. Such models are always to be considered to be dynamic, as they will be made up of 'model files' that are 'reference' files",PAS1192-2 Back
3D Visualization,,"3D images from the 3D CAD model, or a virtual representation of the building or facility to be constructed; used for visualizing the project",PAS1192-2 Back
Acceptance Critieria,,Evidence required for considering that requirements have been fulfilled,ISO 22263
Accessory,,"product of the same or of different product groups, which can be attached to a product. NOTE 1 to entry: An accessory is not a different type of product, it plays an ancillary role to another product.",ISO/DSI 16757-1
Accessory Hierarchy,,Representation of the dependencies between products and accessories,ISO/DSI 16757-1
Activity,,task that is needed to produce a deliverable,BS8536-1
Activity Space,,"Space defined by the spatial extension of an activity. NOTE 1 to entry: A spatial extension of an activity, for example, a table or a bed, and the activity space around them.",ISO 12006-2
Actor,,"A person, an organization or an organizational unit (such as a department, team, etc.) involved in a construction process",ISO/DIS 29481-1
Aftercare,,"defined period post-handover of an asset/facility in which the design and construction team passes on information and knowledge to the operator, operations team or facility manager, responds to queries and problems, and monitors and reviews the asset’s/facility’s performance.",BS8536-1
Alignment,,Achieving complete agreement between the contents of an information model and the state of a physical asset,OBE
Archive,,"Component of the common data environment.  NOTE: The archive section of the CDE is for inactive of superseded information. Such information will provide a history of the project information transfers, sharing, change orders and knowledge retention, and can be used for other contractual purposes or 'discovery'","BS1192, PAS1192-2 Back"
Area of Capability,,Prequalification topic that enquires about the capability of suppliers and their supply chains ? as defined by the relevant question module e.g. health and safety,PAS 91
Article Number,,"Manufacturer's reference number, GTIN, or other identifier identifying the product or constituents of a product",ISO/DSI 16757-1
As-Constructed,,"A model consisting of documentation, non-graphical information and graphical information defining the delivered project.  'As-constructed' defines the defect and deviation to the designed model occurring during construction. The 'As-constructed' model and its appended documentation are continually updated through re-measurement as construction progresses. This allows for deviation to be reviewed with respect to the following packages and making knowledgeable assessment of impact and resolution",PAS1192-2 Back
Aspect,,Concept by which the existence and appearance of a thing is experience and cannot exist without the existence of its possessor and which is either an intrinsic non-separable facet of its possessor or a role of its possessor,ISO 16354
Aspect (Scale Relation),,Relation that specifies that aspects of the specified kind can be quantified using the kind of scale R1 role player: aspect R2 role player: scale/R1 role: quantifiable R2 role: quantifying/R1-R2 expression: can be quantified on scale R2-R1 expression:can be a scale for a,ISO 16354
